method,displacement
PFlog1pPF,0.0038370748634456563
PFlog1pPF,0.005542079400225059
PFlog1pPF,0.0036460989210843958
PFlog1pPF,0.0035422887336151363
PFlog1pPF,0.003657938137475284
PFlog1pPF,0.004362489572123755
PFlog1pPF,0.003971582097259346
PFlog1pPF,0.004047278165246018
PFlog1pPF,0.005321235924345506
PFlog1pPF,0.004916800085391497
PFlog1pPF,0.003965986030878794
PFlog1pPF,0.004787796969574218
PFlog1pPF,0.0031698943162168825
PFlog1pPF,0.00615371908957574
PFlog1pPF,0.005178062830453154
PFlog1pPF,0.0035639151561633136
PFlog1pPF,0.0035235160879921283
PFlog1pPF,0.004363115630367416
PFlog1pPF,0.004682012273355381
PFlog1pPF,0.005302766536493526
PFlog1pPF,0.005056867729484313
PFlog1pPF,0.005715382576627308
PFlog1pPF,0.005206941797290579
PFlog1pPF,0.004186938700204493
PFlog1pPF,0.0039653072424063645
PFlog1pPF,0.0054024997392762945
PFlog1pPF,0.003594448628822853
PFlog1pPF,0.006850731604023949
PFlog1pPF,0.004196293483956314
PFlog1pPF,0.003209312285015541
PFlog1pPF,0.004063303242200171
PFlog1pPF,0.002342915799464276
PFlog1pPF,0.001358821183433986
PFlog1pPF,0.005695174370006513
PFlog1pPF,0.004875391577895874
PFlog1pPF,0.004527675274299837
PFlog1pPF,0.0023637084776413947
PFlog1pPF,0.0016157948511364949
PFlog1pPF,0.008849301902291233
PFlog1pPF,0.007379940000012354
PFlog1pPF,0.005393149703507565
PFlog1pPF,0.004206306364237769
PFlog1pPF,0.009465372623700024
PFlog1pPF,0.007365434763560886
PFlog1pPF,0.005199796725793783
PFlog1pPF,0.0055567373567250175
PFlog1pPF,0.006589863529462425
PFlog1pPF,0.0041911732789062985
PFlog1pPF,0.009151478013333023
PFlog1pPF,0.004016031506310851
PFlog1pPF,0.004133805763776811
PFlog1pPF,0.005723349634601571
PFlog1pPF,0.0044619690030822745
PFlog1pPF,0.004542056374905721
PFlog1pPF,0.006461716705344316
PFlog1pPF,0.006139566291800265
PFlog1pPF,0.008869772000866869
PFlog1pPF,0.004508408487127788
PFlog1pPF,0.0016100044659754743
PFlog1pPF,0.0047234438856317215
PFlog1pPF,0.004303437242387169
PFlog1pPF,0.005638642775215957
PFlog1pPF,0.0037350682598915864
PFlog1pPF,0.0031798975036397654
PFlog1pPF,0.0047925962976310904
PFlog1pPF,0.0058803953492243865
PFlog1pPF,0.005401787286991378
PFlog1pPF,0.004768526190328372
PFlog1pPF,0.006128555729260895
PFlog1pPF,0.0064397100750504185
PFlog1pPF,0.005362266415124684
PFlog1pPF,0.0037032604329250186
PFlog1pPF,0.0020159053162283756
PFlog1pPF,0.005211264283474185
PFlog1pPF,0.006974097645191642
PFlog1pPF,0.0049930566505674975
PFlog1pPF,0.003839946568407376
PFlog1pPF,0.0045379690803951205
